df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
num_ratings,6.32,6.4989650937824,53.2,95.185614844
useful,6.15,6.4989650937824,53.2,95.185614844
easy,5.86,6.4989650937824,52.8,95.185614844
liked,6.05,6.4989650937824,60.8,95.185614844
num_reviews,5.77,6.4989650937824,51.9,95.185614844
course_rating_int,9.21,9.9126934905472,52.6,92.02958857
course_num,377.0,189.55640307538638,908.0,468.19183042388
course_rating_mean,102.0,126.65877933952639,1040.0,1420.8038885358799
num_reviews,13.4,12.392767788,143.0,187.915329688
course_unit,528.0,215.95751493044,999.0,1019.51267620088
easy,15.9,12.392767788,187.0,187.915329688
num_ratings,15.4,12.392767788,145.0,187.915329688
useful,16.6,12.392767788,144.0,187.915329688
liked,15.2,12.392767788,143.0,187.915329688
course_rating_int,17.3,18.613394864,144.0,180.57037714
course_num,526.0,214.66559943986,1010.0,992.53440502388
course_rating_mean,108.0,151.76797570399998,1090.0,1945.1464631358801
course_code,230.0,228.6364800983,1080.0,1284.27965440988
num_reviews,6.04,6.4989650937824,52.0,95.185614844
course_unit,527.0,190.8483185659664,904.0,495.17010160088
easy,6.32,6.4989650937824,54.4,95.185614844
num_ratings,6.41,6.4989650937824,52.0,95.185614844
useful,6.03,6.4989650937824,52.9,95.185614844
liked,6.04,6.4989650937824,53.9,95.185614844
course_rating_int,9.52,9.9126934905472,52.3,92.02958857
course_num,515.0,189.55640307538638,888.0,468.19183042388
course_rating_mean,100.0,126.65877933952639,1000.0,1420.8038885358799
course_code,220.0,203.52728373382638,942.0,759.9370798098801
index,6.71,6.4989650937824,89.1,95.185614844
num_reviews,1300.0,51.03511203054,1830.0,181.55427066844322
easy,1070.0,51.03511203054,1610.0,181.55427066844322
course_unit,522.0,190.8483185659664,914.0,495.17010160088
index,1050.0,51.03511203054,1860.0,181.55427066844322
num_ratings,1070.0,51.03511203054,1950.0,181.55427066844322
useful,1050.0,51.03511203054,1650.0,181.55427066844322
liked,1080.0,51.03511203054,1840.0,181.55427066844322
course_rating_int,1070.0,75.65899259912,2050.0,174.496669454396
course_num,1940.0,379.2924558023,2590.0,956.56563202476
course_rating_mean,1410.0,316.39483206644,2890.0,1909.17769013676
course_code,1670.0,393.26333646074005,2770.0,1248.31088141076
course_rating_mean,1450.0,316.39483206644,2940.0,1909.17769013676
num_reviews,1060.0,59.277854692292806,1620.0,181.55427066844322
easy,1090.0,59.277854692292806,1870.0,181.55427066844322
index,1070.0,59.277854692292806,1670.0,181.55427066844322
num_ratings,1060.0,59.277854692292806,1850.0,181.55427066844322
useful,1050.0,59.277854692292806,1930.0,181.55427066844322
liked,1050.0,59.277854692292806,1740.0,181.55427066844322
course_rating_int,1060.0,87.8273066942784,1850.0,174.496669454396
course_num,1970.0,414.40877285832084,2810.0,956.56563202476
course_code,1700.0,428.3796535167608,2760.0,1248.31088141076
course_rating_mean,1440.0,351.51114912246084,2690.0,1909.17769013676
num_reviews,1040.0,59.277854692292806,1650.0,181.55427066844322
easy,1060.0,59.277854692292806,1860.0,181.55427066844322
index,1050.0,59.277854692292806,1830.0,181.55427066844322
num_ratings,1070.0,59.277854692292806,1710.0,181.55427066844322
useful,1060.0,59.277854692292806,1830.0,181.55427066844322
liked,1050.0,59.277854692292806,1830.0,181.55427066844322
course_rating_int,1050.0,87.8273066942784,1730.0,174.496669454396
course_num,2009.9999999999998,414.40877285832084,2820.0,956.56563202476
course_code,1750.0,428.3796535167608,3090.0,1248.31088141076
course_rating_mean,1430.0,351.51114912246084,2800.0,1909.17769013676
num_reviews,1060.0,59.277854692292806,1610.0,181.55427066844322
easy,1080.0,59.277854692292806,1890.0,181.55427066844322
index,1090.0,59.277854692292806,1590.0,181.55427066844322
num_ratings,1060.0,59.277854692292806,1810.0,181.55427066844322
useful,1050.0,59.277854692292806,1970.0,181.55427066844322
liked,1060.0,59.277854692292806,1610.0,181.55427066844322
course_rating_int,1080.0,87.8273066942784,1820.0,174.496669454396
course_num,1950.0,414.40877285832084,2690.0,956.56563202476
course_code,1670.0,428.3796535167608,2830.0,1248.31088141076
course_rating_mean,1430.0,351.51114912246084,2710.0,1909.17769013676
num_reviews,1060.0,59.277854692292806,1650.0,181.55427066844322
easy,1070.0,59.277854692292806,1830.0,181.55427066844322
index,1080.0,59.277854692292806,1700.0,181.55427066844322
num_ratings,1080.0,59.277854692292806,1800.0,181.55427066844322
useful,1070.0,59.277854692292806,1880.0,181.55427066844322
liked,1060.0,59.277854692292806,1710.0,181.55427066844322
course_rating_int,1060.0,87.8273066942784,1800.0,174.496669454396
course_num,1970.0,414.40877285832084,2830.0,956.56563202476
course_code,1670.0,428.3796535167608,2770.0,1248.31088141076
index,132.0,8.39015257887,218.0,28.049776833943202
course_code,91.2,61.50928283222,347.0,172.28965902876
num_ratings,57.2,8.39015257887,207.0,28.049776833943202
useful,58.3,8.39015257887,231.0,28.049776833943202
easy,58.3,8.39015257887,212.0,28.049776833943202
liked,59.1,8.39015257887,212.0,28.049776833943202
num_reviews,60.5,8.39015257887,223.0,28.049776833943202
course_rating_int,60.9,12.70455104036,208.0,27.926511700646003
course_num,130.0,60.02421865484,353.0,141.27798343176002
course_rating_mean,72.8,50.119117853540004,377.0,296.23877905176
num_reviews,56.9,8.39015257887,211.0,28.049776833943202
easy,59.7,8.39015257887,208.0,28.049776833943202
index,63.4,8.39015257887,230.0,28.049776833943202
num_ratings,58.2,8.39015257887,209.0,28.049776833943202
useful,57.5,8.39015257887,210.0,28.049776833943202
liked,57.1,8.39015257887,226.0,28.049776833943202
course_rating_int,58.0,12.70455104036,211.0,27.926511700646003
course_code,91.3,61.50928283222,342.0,172.28965902876
course_rating_mean,1430.0,351.51114912246084,2700.0,1909.17769013676
num_reviews,1050.0,59.277854692292806,1600.0,181.55427066844322
easy,1090.0,59.277854692292806,1780.0,181.55427066844322
index,1070.0,59.277854692292806,1660.0,181.55427066844322
num_ratings,1070.0,59.277854692292806,1790.0,181.55427066844322
useful,1060.0,59.277854692292806,1830.0,181.55427066844322
liked,1060.0,59.277854692292806,1690.0,181.55427066844322
course_rating_int,1070.0,87.8273066942784,1780.0,174.496669454396
course_num,2000.0,414.40877285832084,2870.0,956.56563202476
course_code,1680.0,428.3796535167608,2710.0,1248.31088141076
index,3.68,0.7433052861,10.2,2.9839915075632
course_code,4.15,2.18864816384,13.2,10.66073513376
num_ratings,3.02,0.7433052861,8.86,2.9839915075632
useful,2.96,0.7433052861,10.9,2.9839915075632
easy,2.62,0.7433052861,8.85,2.9839915075632
liked,2.86,0.7433052861,9.0,2.9839915075632
num_reviews,2.77,0.7433052861,9.48,2.9839915075632
course_rating_int,3.38,1.4159249708,8.93,3.9930357629959996
course_num,3.92,2.1381802811600004,12.4,9.606845591759999
course_rating_mean,4.26,1.96995400556,13.6,12.592865960760001
num_reviews,1.78,0.7433052861,9.45,2.9839915075632
easy,2.6,0.7433052861,8.79,2.9839915075632
index,2.61,0.7433052861,9.79,2.9839915075632
num_ratings,2.9,0.7433052861,8.91,2.9839915075632
useful,2.91,0.7433052861,8.92,2.9839915075632
liked,2.85,0.7433052861,9.48,2.9839915075632
